NOAM_type ,NOM_type ,NMO_type ,AFTD_type ,FANOUT_type ,NOMNAMM_type ,NOA_type ,NIM_type ,DIT_type ,LOC_type ,LOCNAMM_type ,TCC_type ,CBO_type ,RFC_type ,NOC_type ,WMC_type ,WOC_type ,WMCNAMM_type ,AMW_type ,data_class
0,6,0,3,1,6,2,32,3,54,54,1,5,56,0,9,0.5,9,1.5,FALSE
0,2,2,0,0,2,4,30,3,18,18,1,5,48,0,4,0.333333,4,2,FALSE
0,7,0,2,1,7,3,32,3,34,34,1,5,57,0,7,0.571429,7,1,FALSE
0,1,0,0,0,1,2,32,3,4,4,1,5,49,0,1,0.333333,1,1,FALSE
0,4,0,0,2,4,1,32,3,35,35,1,5,53,0,8,0.5,8,2,FALSE
0,2,1,4,2,2,1,25,2,16,16,0,5,41,0,3,0.5,3,1.5,FALSE
0,4,1,1,3,4,3,31,3,43,43,1,6,53,0,11,0.5,11,2.75,FALSE
0,4,2,0,0,4,1,0,1,26,26,1,0,4,0,7,1,7,1.75,FALSE
0,3,0,0,1,3,1,32,3,24,24,1,5,52,0,4,0.666667,4,1.333333,FALSE
0,6,3,5,3,6,1,30,3,44,44,0.2,7,52,0,14,1,14,2.333333,FALSE
6,8,0,0,0,2,4,0,1,47,11,0.142857,0,8,0,8,0.25,2,1,TRUE
16,16,0,0,0,0,8,0,1,91,91,0.066667,3,16,0,16,0,0,1,TRUE
0,5,0,0,2,5,0,45,6,29,29,0,9,18,0,5,1,5,1,FALSE
1,7,1,2,2,6,1,44,6,48,38,1,9,19,0,7,0.75,6,1,FALSE
0,6,1,3,2,6,0,44,6,39,39,0,9,18,0,8,1,8,1.333333,FALSE
0,66,0,0,0,66,5,51,2,1917,1917,0.007519,1,66,0,785,0.919355,785,11.893939,FALSE
0,7,0,13,6,7,6,0,1,301,301,0,6,23,0,48,1,48,6.857143,FALSE
0,2,0,0,0,2,0,15,3,8,8,1,0,2,0,2,1,2,1,FALSE
10,12,0,1,2,2,5,0,1,97,42,0.163636,2,14,0,19,0.166667,8,1.583333,TRUE
0,2,0,0,0,2,1,63,3,21,21,1,0,2,0,3,1,3,1.5,FALSE
4,5,0,0,1,1,15,13,3,127,89,0,2,19,0,5,0,1,1,TRUE
7,15,,0,1,8,13,,2,263,155,0.032967,3,16,3,19,,8,1.266667,FALSE
16,17,0,0,0,1,8,0,1,97,1,0.066667,0,17,0,17,0,1,1,TRUE
0,13,2,3,3,13,5,3,2,218,218,0.755556,4,19,0,51,1,51,3.923077,FALSE
0,1,0,0,0,1,0,0,1,8,8,1,0,1,0,2,1,2,2,FALSE
89,162,2,101,41,73,77,0,1,3129,2065,0.27739,57,328,0,476,0.385714,344,2.938272,FALSE
40,41,1,1,0,1,20,0,1,380,380,0.029268,11,41,0,42,0.02439,2,1.02439,TRUE
6,6,0,0,0,0,3,0,1,61,61,0.333333,0,6,5,8,0,0,1.333333,TRUE
6,6,0,0,0,0,3,0,1,26,26,0.2,0,6,0,6,0,0,1,TRUE
0,16,0,0,14,16,1,0,1,561,561,0.622222,9,42,0,56,1,56,3.5,FALSE
0,1,0,0,0,1,0,0,1,6,6,1,1,1,,1,,1,1,FALSE
7,10,0,0,1,3,4,0,1,90,21,0.133333,2,12,0,14,0.3,3,1.4,TRUE
0,31,0,6,23,31,9,0,1,1142,1142,0.405797,27,82,0,138,1,138,4.451613,FALSE
6,7,0,1,1,1,3,17,2,33,3,0.2,3,25,0,7,0,1,1,TRUE
7,8,0,0,0,1,4,0,1,38,3,0.142857,1,8,0,8,0,1,1,TRUE
11,12,0,1,0,1,6,0,1,56,1,0.090909,2,12,0,12,0,1,1,TRUE
13,14,0,2,0,1,7,0,1,65,0,0.076923,2,14,0,14,0,1,1,TRUE
